size,simple,strassen,simple_parallel,strassen_2layers,strassen_recursive,speedup_strassen,speedup_simple_parallel,speedup_strassen_2layers,speedup_strassen_recursive
2050,22.998867,43.217823,1.674994,5.232328,3.377979,0.532161626928779,13.7307160503262,4.39553235194736,6.80846950203065
2200,29.459309,43.283943,2.162048,3.648598,3.756431,0.680605946644001,13.6256498468119,8.0741449181302,7.84236659744316
2350,36.862053,43.214691,2.664536,4.486284,3.536067,0.852998185269912,13.8343234994761,8.21661156538463,10.4245912195668
2500,46.106152,43.269894,3.584943,5.188784,4.028525,1.06554806905698,12.8610558103713,8.88573353602694,11.444921404236
2650,55.172665,43.354488,4.251193,5.819236,3.741921,1.27259408529977,12.9781604834219,9.48108394297808,14.744476166119
2800,64.282478,43.231419,4.974999,6.100074,3.623418,1.48693888581358,12.9211037027344,10.5379833097107,17.7408397264682
2950,74.894287,43.277977,5.919751,5.532786,3.436956,1.73054038547135,12.6515941295504,13.5364510754618,21.7908774508606
3100,87.420471,43.236423,6.488042,6.136924,3.402558,2.02191728487808,13.474091413095,14.2449981456508,25.6925733521662
3250,99.897995,43.289021,7.901475,5.681065,2.964599,2.30769818056176,12.6429552710095,17.5843781051616,33.6969671108976
3400,114.151161,43.233402,9.060891,5.103853,3.85139,2.6403464848776,12.5982269293384,22.3656835335971,29.6389513915755
3550,127.974319,43.350887,10.147819,5.788263,3.566031,2.95205768223381,12.6110171062373,22.1092785521321,35.887046130558
3700,144.229263,43.241627,11.560616,3.931376,2.904107,3.33542637052024,12.4759150377454,36.6867129981971,49.6638942711133
3850,162.843491,43.260586,13.082865,3.902437,3.022964,3.7642460737818,12.4470818127375,41.7286662154956,53.868815837701
4000,184.693405,43.219559,14.797292,5.389419,3.641588,4.27337551037946,12.4815679112097,34.2696318471434,50.7178200828869
4150,203.590652,304.27417,16.389505,80.505653,22.052456,0.669102645157162,12.4220134775272,2.52889883397381,9.23210784322617
4300,226.039444,304.456757,18.232679,80.48645,22.321276,0.742435300918613,12.3974893651119,2.80841612470174,10.1266363087845
4450,251.628403,304.715729,20.241577,80.640572,20.729097,0.825780814878775,12.4312647675623,3.1203697687065,12.1388984286194
4600,281.930237,304.69046,22.489592,80.629013,22.119635,0.925300506619078,12.5360316452162,3.49663510081663,12.7457002342037
